hgnc_id	entrez_id	ensembl_gene_id	location_sortable	symbol	name	gene_family	pubmed_id
HGNC:8725	5106	ENSG00000100889	14q11.2-q12	PCK2	"phosphoenolpyruvate carboxykinase 2, mitochondrial"		8645161|9657976
HGNC:13406	27445	ENSG00000186472	07q21.11	PCLO	piccolo presynaptic cytomatrix protein	Zinc fingers|C2 domain containing|PDZ domain containing	8900486|9628581
HGNC:8727	5108	ENSG00000078674	08p22	PCM1	pericentriolar material 1		8120099|15659651
HGNC:8728	5110	ENSG00000120265	06q25.1	PCMT1	protein-L-isoaspartate (D-aspartate) O-methyltransferase		1478665|10343128
HGNC:30483	115294	ENSG00000168300	08q11.23	PCMTD1	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1		
HGNC:15882	55251	ENSG00000203880	20q13.33	PCMTD2	protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 2		
HGNC:8729	5111	ENSG00000132646	20p12.3	PCNA	proliferating cell nuclear antigen		2565339
HGNC:30023	57092	ENSG00000081154	03q12.3	PCNP	PEST proteolytic signal containing nuclear protein		12176013
HGNC:16068	5116	ENSG00000160299	21q22.3	PCNT	pericentrin		8812505|9455477
HGNC:19740	22990	ENSG00000100731	14q24.2	PCNX1	pecanex homolog 1 (Drosophila)		9244429|15777640
HGNC:8736	80003	ENSG00000135749	01q42.2	PCNX2	pecanex homolog 2 (Drosophila)		12477932
HGNC:18760	399909	ENSG00000197136	11q13.1	PCNX3	pecanex homolog 3 (Drosophila)		15146197
HGNC:20349	64430	ENSG00000126773	14q23.1	PCNX4	pecanex homolog 4 (Drosophila)		
HGNC:8738	5118	ENSG00000106333	07q22.1	PCOLCE	procollagen C-endopeptidase enhancer		8824813|9799793
HGNC:8739	26577	ENSG00000163710	03q23	PCOLCE2	procollagen C-endopeptidase enhancer 2		10873381
HGNC:30209	126006	ENSG00000174788	19p13.3	PCP2	Purkinje cell protein 2		12477932
HGNC:8742	5121	ENSG00000183036	21q22.2	PCP4	Purkinje cell protein 4		8931698|8914602
HGNC:20448	654790	ENSG00000248485	01q23.3	PCP4L1	Purkinje cell protein 4 like 1		
HGNC:8743	5122	ENSG00000175426	05q15	PCSK1	proprotein convertase subtilisin/kexin type 1	Proprotein convertase subtilisin/kexin family	1765368
HGNC:17301	27344	ENSG00000102109	Xp11.23	PCSK1N	proprotein convertase subtilisin/kexin type 1 inhibitor	Granins	10632593
HGNC:8744	5126	ENSG00000125851	20p12.1	PCSK2	proprotein convertase subtilisin/kexin type 2	Proprotein convertase subtilisin/kexin family	1765368
HGNC:8746	54760	ENSG00000115257	19p13.3	PCSK4	proprotein convertase subtilisin/kexin type 4	Proprotein convertase subtilisin/kexin family	7782070
HGNC:8747	5125	ENSG00000099139	09q21.13	PCSK5	proprotein convertase subtilisin/kexin type 5	Proprotein convertase subtilisin/kexin family	7782070
HGNC:8569	5046	ENSG00000140479	15q26	PCSK6	proprotein convertase subtilisin/kexin type 6	Proprotein convertase subtilisin/kexin family	1741956
HGNC:8748	9159	ENSG00000160613	11q23.3	PCSK7	proprotein convertase subtilisin/kexin type 7	Proprotein convertase subtilisin/kexin family	8615762|9820811
HGNC:20001	255738	ENSG00000169174	01p32.3	PCSK9	proprotein convertase subtilisin/kexin type 9	Proprotein convertase subtilisin/kexin family	12552133|12730697
HGNC:8752	58488	ENSG00000141179	17q22	PCTP	phosphatidylcholine transfer protein	StAR related lipid transfer domain containing	
HGNC:20588	51449	ENSG00000116005	02p13.3	PCYOX1	prenylcysteine oxidase 1		10585463|12186880
HGNC:28477	78991	ENSG00000145882	05q32	PCYOX1L	prenylcysteine oxidase 1 like		12477932
HGNC:8754	5130	ENSG00000161217	03q29	PCYT1A	"phosphate cytidylyltransferase 1, choline, alpha"		7918629
HGNC:8755	9468	ENSG00000102230	Xp22.11	PCYT1B	"phosphate cytidylyltransferase 1, choline, beta"		9593753
HGNC:8756	5833	ENSG00000185813	17q25.3	PCYT2	"phosphate cytidylyltransferase 2, ethanolamine"		9083101
HGNC:14634	11333	ENSG00000106244	07q22.1	PDAP1	PDGFA associated protein 1		8780057
HGNC:8759	5132	ENSG00000116703	01q31.1	PDC	phosducin		8288249
HGNC:8760	5133	ENSG00000188389	02q37.3	PDCD1	programmed cell death 1	CD molecules|V-set domain containing	7851902|12402038
HGNC:18731	80380	ENSG00000197646	09p24.1	PDCD1LG2	programmed cell death 1 ligand 2	CD molecules|Endogenous ligands|Immunoglobulin like domain containing	11224527
HGNC:8762	5134	ENSG00000071994	06q27	PDCD2	programmed cell death 2	Zinc fingers MYND-type	7606924
HGNC:28194	84306	ENSG00000126249	19q13.11	PDCD2L	programmed cell death 2 like		16311922|25566315
HGNC:8763	27250	ENSG00000150593	10q25.2	PDCD4	programmed cell death 4 (neoplastic transformation inhibitor)		9759869
HGNC:8764	9141	ENSG00000105185	19q13.11	PDCD5	programmed cell death 5		9920759
HGNC:8765	10016	ENSG00000249915	05p15.33	PDCD6	programmed cell death 6	EF-hand domain containing	8560270
HGNC:8766	10015	ENSG00000170248	03p22.3	PDCD6IP	programmed cell death 6 interacting protein		9880530
HGNC:8767	10081	ENSG00000090470	15q22.31	PDCD7	programmed cell death 7		10037816
HGNC:8761	11235	ENSG00000114209	03q26.1	PDCD10	programmed cell death 10		15543491
HGNC:13408	22984	ENSG00000148843	10q24.33	PDCD11	programmed cell death 11	Minor histocompatibility antigens	10229231
HGNC:8770	5082	ENSG00000136940	09q33.2	PDCL	phosducin like		10095058
HGNC:29524	132954	ENSG00000163440	04q12	PDCL2	phosducin like 2		12424248
HGNC:28860	79031	ENSG00000115539	02q11.2	PDCL3	phosducin like 3		
HGNC:26616	347862	ENSG00000177225	11p15.5	PDDC1	Parkinson disease 7 domain containing 1		
HGNC:8774	5136	ENSG00000115252	02q32.1	PDE1A	phosphodiesterase 1A	Phosphodiesterases	8557689|11342109
HGNC:8775	5153	ENSG00000123360	12q13	PDE1B	phosphodiesterase 1B	Phosphodiesterases	8855339|9419816
HGNC:8776	5137	ENSG00000154678	07p14.3	PDE1C	phosphodiesterase 1C	Phosphodiesterases	8557689
HGNC:8777	5138	ENSG00000186642	11q13.4	PDE2A	phosphodiesterase 2A	Phosphodiesterases	9210593
HGNC:8778	5139	ENSG00000172572	12p12.2	PDE3A	phosphodiesterase 3A	Phosphodiesterases	1315035|10679291
HGNC:8779	5140	ENSG00000152270	11p15.2	PDE3B	phosphodiesterase 3B	Phosphodiesterases	8884271|16395595
HGNC:8780	5141	ENSG00000065989	19p13.2	PDE4A	phosphodiesterase 4A	Phosphodiesterases	8009369
HGNC:8781	5142	ENSG00000184588	01p31.3	PDE4B	phosphodiesterase 4B	Phosphodiesterases	
HGNC:8782	5143	ENSG00000105650	19p13.11	PDE4C	phosphodiesterase 4C	Phosphodiesterases	
HGNC:8783	5144	ENSG00000113448	05q12	PDE4D	phosphodiesterase 4D	Phosphodiesterases	
HGNC:15580	9659	ENSG00000178104	01q21.2	PDE4DIP	phosphodiesterase 4D interacting protein		9455484|11134006
HGNC:8784	8654	ENSG00000138735	04q26	PDE5A	phosphodiesterase 5A	Phosphodiesterases	9714779|9642111
HGNC:8785	5145	ENSG00000132915	05q32	PDE6A	phosphodiesterase 6A	Phosphodiesterases	2155175
HGNC:8786	5158	ENSG00000133256	04p16.3	PDE6B	phosphodiesterase 6B	Phosphodiesterases	1313787
HGNC:8787	5146	ENSG00000095464	10q23.33	PDE6C	phosphodiesterase 6C	Phosphodiesterases	
HGNC:8788	5147	ENSG00000156973	02q37.1	PDE6D	phosphodiesterase 6D	Phosphodiesterases	9533031|9570951
HGNC:8789	5148	ENSG00000185527	17q21.1	PDE6G	phosphodiesterase 6G	Phosphodiesterases	2155175
HGNC:8790	5149	ENSG00000139053	12p13	PDE6H	phosphodiesterase 6H	Phosphodiesterases	8786098
HGNC:8791	5150	ENSG00000205268	08q13	PDE7A	phosphodiesterase 7A	Phosphodiesterases	8389765|9521885
HGNC:8792	27115	ENSG00000171408	06q23.3	PDE7B	phosphodiesterase 7B	Phosphodiesterases	10618442
HGNC:8793	5151	ENSG00000073417	15q25.3	PDE8A	phosphodiesterase 8A	Phosphodiesterases	9618252
HGNC:8794	8622	ENSG00000113231	05q13.3	PDE8B	phosphodiesterase 8B	Phosphodiesterases	9784418
HGNC:8795	5152	ENSG00000160191	21q22.3	PDE9A	phosphodiesterase 9A	Phosphodiesterases	9624146
HGNC:8772	10846	ENSG00000112541	06q27	PDE10A	phosphodiesterase 10A	Phosphodiesterases	10373451
HGNC:8773	50940	ENSG00000128655	02q31.2	PDE11A	phosphodiesterase 11A	Phosphodiesterases	10725373
HGNC:25386	201626	ENSG00000174840	03p14.3	PDE12	phosphodiesterase 12		15231837
HGNC:30012	64146	ENSG00000258429	16q22.1	PDF	peptide deformylase (mitochondrial)		11060042|15489958
HGNC:8799	5154	ENSG00000197461	07p22.3	PDGFA	platelet derived growth factor subunit A		1505216|2536956
HGNC:8800	5155	ENSG00000100311	22q13.1	PDGFB	platelet derived growth factor subunit B		2991848|1661670
HGNC:8801	56034	ENSG00000145431	04q32.1	PDGFC	platelet derived growth factor C		10858496
HGNC:30620	80310	ENSG00000170962	11q22.3	PDGFD	platelet derived growth factor D		11162582|11980634
HGNC:8803	5156	ENSG00000134853	04q12	PDGFRA	platelet derived growth factor receptor alpha	Receptor Tyrosine Kinases|CD molecules|I-set domain containing	8643452
HGNC:8804	5159	ENSG00000113721	05q32	PDGFRB	platelet derived growth factor receptor beta	Receptor Tyrosine Kinases|CD molecules|I-set domain containing|Immunoglobulin like domain containing	
HGNC:8805	5157	ENSG00000104213	08p22	PDGFRL	platelet derived growth factor receptor like	I-set domain containing|Immunoglobulin like domain containing	
HGNC:8806	5160	ENSG00000131828	Xp22.12	PDHA1	pyruvate dehydrogenase (lipoamide) alpha 1		
HGNC:8807	5161	ENSG00000163114	04q22.3	PDHA2	pyruvate dehydrogenase (lipoamide) alpha 2		
HGNC:8808	5162	ENSG00000168291	03p14.3	PDHB	pyruvate dehydrogenase (lipoamide) beta		
HGNC:21350	8050	ENSG00000110435	11p13	PDHX	pyruvate dehydrogenase complex component X		9467010|12372595
HGNC:14180	64714	ENSG00000185615	16p13.3	PDIA2	protein disulfide isomerase family A member 2	Protein disulfide isomerases	8561901
HGNC:4606	2923	ENSG00000167004	15q15.3	PDIA3	protein disulfide isomerase family A member 3	Protein disulfide isomerases	8974399
HGNC:30167	9601	ENSG00000155660	07q36.1	PDIA4	protein disulfide isomerase family A member 4	Protein disulfide isomerases	2549034|2002068
HGNC:24811	10954	ENSG00000065485	03q21.1	PDIA5	protein disulfide isomerase family A member 5	Protein disulfide isomerases	7556671
HGNC:30168	10130	ENSG00000143870	02p25.1	PDIA6	protein disulfide isomerase family A member 6	Protein disulfide isomerases	7590364|12204115
HGNC:18981	149420	ENSG00000175087	01p36.11	PDIK1L	PDLIM1 interacting kinase 1 like		14631099
HGNC:27338	204474	ENSG00000169340	16p12.3	PDILT	"protein disulfide isomerase like, testis expressed"	Protein disulfide isomerases	15475357
HGNC:8809	5163	ENSG00000152256	02q31.1	PDK1	pyruvate dehydrogenase kinase 1		7499431
HGNC:8810	5164	ENSG00000005882	17q21.33	PDK2	pyruvate dehydrogenase kinase 2		7499431
HGNC:8811	5165	ENSG00000067992	Xp22.11	PDK3	pyruvate dehydrogenase kinase 3		7499431
HGNC:8812	5166	ENSG00000004799	07q21.3	PDK4	pyruvate dehydrogenase kinase 4		7499431
HGNC:2067	9124	ENSG00000107438	10q23.33	PDLIM1	PDZ and LIM domain 1	LIM domain containing|PDZ domain containing	10861853
HGNC:13992	64236	ENSG00000120913	08p21.3	PDLIM2	PDZ and LIM domain 2	LIM domain containing|PDZ domain containing	
HGNC:20767	27295	ENSG00000154553	04q35.1	PDLIM3	PDZ and LIM domain 3	LIM domain containing|PDZ domain containing	10063829|8828038
HGNC:16501	8572	ENSG00000131435	05q31.1	PDLIM4	PDZ and LIM domain 4	LIM domain containing|PDZ domain containing	9573374
HGNC:17468	10611	ENSG00000163110	04q22.3	PDLIM5	PDZ and LIM domain 5	LIM domain containing|PDZ domain containing	15346770
HGNC:22958	9260	ENSG00000196923	05q35.3	PDLIM7	PDZ and LIM domain 7	LIM domain containing|PDZ domain containing	11874232
HGNC:9279	54704	ENSG00000164951	08q22.1	PDP1	pyruvate dehyrogenase phosphatase catalytic subunit 1	"Protein phosphatases, Mg2+/Mn2+ dependent"	8396421
HGNC:30263	57546	ENSG00000172840	16q22.1	PDP2	pyruvate dehyrogenase phosphatase catalytic subunit 2	"Protein phosphatases, Mg2+/Mn2+ dependent"	9651365
HGNC:8816	5170	ENSG00000140992	16p13.3	PDPK1	3-phosphoinositide dependent protein kinase 1		9094314|9445477
HGNC:29602	10630	ENSG00000162493	01p36.21	PDPN	podoplanin		10393083|9651190
HGNC:30264	55066	ENSG00000090857	16q22.1	PDPR	pyruvate dehydrogenase phosphatase regulatory subunit		9395502
HGNC:16119	81572	ENSG00000088356	20q11.21	PDRG1	p53 and DNA damage regulated 1		14562055
HGNC:29088	23244	ENSG00000121892	04p14	PDS5A	PDS5 cohesin associated factor A		11076961|15855230|24141881
HGNC:20418	23047	ENSG00000083642	13q13.1	PDS5B	PDS5 cohesin associated factor B		8812419|10215036|24141881
HGNC:17759	23590	ENSG00000148459	10p12.1	PDSS1	"prenyl (decaprenyl) diphosphate synthase, subunit 1"		10972372
HGNC:23041	57107	ENSG00000164494	06q21	PDSS2	"prenyl (decaprenyl) diphosphate synthase, subunit 2"		16262699
HGNC:6107	3651	ENSG00000139515	13q12.2	PDX1	pancreatic and duodenal homeobox 1	HOXL subclass homeoboxes	7590740
HGNC:28995	23042	ENSG00000179889	16p13.11	PDXDC1	pyridoxal dependent decarboxylase domain containing 1		
HGNC:8819	8566	ENSG00000160209	21q22.3	PDXK	"pyridoxal (pyridoxine, vitamin B6) kinase"		9099727
HGNC:30259	57026	ENSG00000241360	22q13.1	PDXP	pyridoxal phosphatase	HAD Asp-based protein phosphatases	14522954|15580268
HGNC:8820	5173	ENSG00000101327	20p13	PDYN	prodynorphin	Endogenous ligands	21035104
HGNC:18486	23037	ENSG00000133401	05p14.1	PDZD2	PDZ domain containing 2	PDZ domain containing	9205841
HGNC:19891	79849	ENSG00000172367	11q23.3	PDZD3	PDZ domain containing 3	PDZ domain containing	11950846
HGNC:21167	57595	ENSG00000067840	Xq28	PDZD4	PDZ domain containing 4	PDZ domain containing	10819331|15077175
HGNC:26257	79955	ENSG00000186862	10q24.31	PDZD7	PDZ domain containing 7	PDZ domain containing|USH2 complex 	12477932
HGNC:26974	118987	ENSG00000165650	10q25.3-q26.11	PDZD8	PDZ domain containing 8	PDZ domain containing	20573829
HGNC:28740	255762	ENSG00000155714	16p12.2	PDZD9	PDZ domain containing 9	PDZ domain containing	12477932
HGNC:28034	51248	ENSG00000120509	Xq13.1	PDZD11	PDZ domain containing 11	PDZ domain containing	11042152|12975309
HGNC:8821	5174	ENSG00000174827	01q21.1	PDZK1	PDZ domain containing 1	PDZ domain containing	9461128
HGNC:16887	10158	ENSG00000162366	01p33	PDZK1IP1	PDZK1 interacting protein 1		9815914|8701988|12754212|12837682
HGNC:17704	23024	ENSG00000121440	03p13	PDZRN3	PDZ domain containing ring finger 3	Ring finger proteins|PDZ domain containing	10470851
HGNC:30552	29951	ENSG00000165966	12q12	PDZRN4	PDZ domain containing ring finger 4	Ring finger proteins|PDZ domain containing	11230166|15010864
HGNC:8822	8682	ENSG00000162734	01q23.2	PEA15	phosphoprotein enriched in astrocytes 15	Death effector domain containing	9205133
HGNC:29431	79834	ENSG00000173517	15q24.3	PEAK1	pseudopodium enriched atypical kinase 1		16879967|20534451
HGNC:33631	375033	ENSG00000187800	01q23.1	PEAR1	platelet endothelial aggregation receptor 1		15851471
HGNC:8630	5037	ENSG00000089220	12q24.23	PEBP1	phosphatidylethanolamine binding protein 1		15782137
HGNC:28319	157310	ENSG00000134020	08p21.3	PEBP4	phosphatidylethanolamine binding protein 4		15302887|16865237
HGNC:8823	5175	ENSG00000261371	17q23.3	PECAM1	platelet and endothelial cell adhesion molecule 1	CD molecules|Immunoglobulin like domain containing	8661055|1690453
HGNC:18281	55825	ENSG00000115425	02q35	PECR	peroxisomal trans-2-enoyl-CoA reductase	Short chain dehydrogenase/reductase superfamily	10811639|11669066|19027726
HGNC:30009	553115	ENSG00000162517	01p35.2	PEF1	penta-EF-hand domain containing 1	EF-hand domain containing	10486255|11883899
HGNC:8826	5178	ENSG00000198300	19q13.4	PEG3	paternally expressed 3	Zinc fingers C2H2-type	9149948
HGNC:14005	23089	ENSG00000242265	07q21.3	PEG10	paternally expressed 10		11318613|15716091|16093683
HGNC:8827	57162	ENSG00000197329	02p14	PELI1	pellino E3 ubiquitin protein ligase 1	Pellino E3 ubiquitin protein ligases	11306823|16951688
HGNC:8828	57161	ENSG00000139946	14q22.3	PELI2	pellino E3 ubiquitin protein ligase family member 2	Pellino E3 ubiquitin protein ligases	11306823|12860405
HGNC:30010	246330	ENSG00000174516	11q13.2	PELI3	pellino E3 ubiquitin protein ligase family member 3	Pellino E3 ubiquitin protein ligases	12874243|15917247
HGNC:8829	53918	ENSG00000152684	05q11.2	PELO	pelota homolog (Drosophila)		11060452
HGNC:30134	27043	ENSG00000141456	17p13.2	PELP1	"proline, glutamate and leucine rich protein 1"	5FMC ribosome biogenesis complex	11481323|12682072
HGNC:8830	10400	ENSG00000133027	17p11.2	PEMT	phosphatidylethanolamine N-methyltransferase		9989271|17881348
HGNC:8831	5179	ENSG00000181195	08q12.1	PENK	proenkephalin	Endogenous ligands	6281660
HGNC:8840	5184	ENSG00000124299	19q13.11	PEPD	peptidase D		2925654|1972707
HGNC:8845	5187	ENSG00000179094	17p13.1	PER1	period circadian clock 1		9323128
HGNC:8846	8864	ENSG00000132326	02q37.3	PER2	period circadian clock 2		9427249|17218255
HGNC:8847	8863	ENSG00000049246	01p36.23	PER3	period circadian clock 3		9427249
HGNC:28208	84808	ENSG00000187642	01p36.33	PERM1	"PPARGC1 and ESRR induced regulator, muscle 1"		23836911
HGNC:17637	64065	ENSG00000112378	06q23.3	PERP	"PERP, TP53 apoptosis effector"		11062687
HGNC:8848	23481	ENSG00000100029	22q12.2	PES1	pescadillo ribosomal biogenesis factor 1		8985183|10591208|17353269
HGNC:40038	100131801	ENSG00000229833	19p13.2	PET100	PET100 homolog		22356826|24462369
HGNC:40045	100303755	ENSG00000232838	20p11.23	PET117	PET117 homolog		
HGNC:8850	5189	ENSG00000127980	07q21.2	PEX1	peroxisomal biogenesis factor 1	AAA ATPases|Peroxins	9398848
HGNC:9717	5828	ENSG00000164751	08q21.11	PEX2	peroxisomal biogenesis factor 2	Ring finger proteins|Peroxins	1546315|8858157
HGNC:8858	8504	ENSG00000034693	06q24.2	PEX3	peroxisomal biogenesis factor 3	Peroxins	9657383
HGNC:9719	5830	ENSG00000139197	12p13.31	PEX5	peroxisomal biogenesis factor 5	Tetratricopeptide repeat domain containing|Peroxins	
HGNC:30024	51555	ENSG00000114757	03q26.33	PEX5L	peroxisomal biogenesis factor 5 like	Tetratricopeptide repeat domain containing	11463335|19555650
HGNC:8859	5190	ENSG00000124587	06p21.1	PEX6	peroxisomal biogenesis factor 6	AAA ATPases|Peroxins	8670792
HGNC:8860	5191	ENSG00000112357	06q23.3	PEX7	peroxisomal biogenesis factor 7	WD repeat domain containing|Peroxins	9090381|10673331
HGNC:8851	5192	ENSG00000157911	01p36.32	PEX10	peroxisomal biogenesis factor 10	Ring finger proteins|Peroxins	9683594
HGNC:8852	8800	ENSG00000166821	15q26.1	PEX11A	peroxisomal biogenesis factor 11 alpha	Peroxins	9792670
HGNC:8853	8799	ENSG00000131779	01q21.1	PEX11B	peroxisomal biogenesis factor 11 beta	Peroxins	9792670
HGNC:20208	92960	ENSG00000104883	19p13.2	PEX11G	peroxisomal biogenesis factor 11 gamma	Peroxins	12417726
HGNC:8854	5193	ENSG00000108733	17q12	PEX12	peroxisomal biogenesis factor 12	Peroxins	9090384
HGNC:8855	5194	ENSG00000162928	02p15	PEX13	peroxisomal biogenesis factor 13	Peroxins	9878256
HGNC:8856	5195	ENSG00000142655	01p36.22	PEX14	peroxisomal biogenesis factor 14	Peroxins	9653144
HGNC:8857	9409	ENSG00000121680	11p11.2	PEX16	peroxisomal biogenesis factor 16	Peroxins	9922452
HGNC:9713	5824	ENSG00000162735	01q23.2	PEX19	peroxisomal biogenesis factor 19	Peroxins	9339377|10051604
HGNC:22965	55670	ENSG00000215193	22q11.21	PEX26	peroxisomal biogenesis factor 26	Peroxins	12717447|12851857
HGNC:8861	5196	ENSG00000163737	04q13.3	PF4	platelet factor 4		3622011
HGNC:8862	5197	ENSG00000109272	04q13.3	PF4V1	platelet factor 4 variant 1		2725510
HGNC:8863	5198	ENSG00000178921	17p13.1	PFAS	phosphoribosylformylglycinamidine synthase		8110788
HGNC:8866	5201	ENSG00000113068	05q31.3	PFDN1	prefoldin subunit 1	Prefoldin subunits	9630229
HGNC:8867	5202	ENSG00000143256	01q23.3	PFDN2	prefoldin subunit 2	Prefoldin subunits	10051400
HGNC:8868	5203	ENSG00000101132	20q13.2	PFDN4	prefoldin subunit 4	Prefoldin subunits	9630229|8744932
HGNC:8869	5204	ENSG00000123349	12q13.13	PFDN5	prefoldin subunit 5	Prefoldin subunits	9630229|9792694
HGNC:4926	10471	ENSG00000204220	06p21.32	PFDN6	prefoldin subunit 6	Prefoldin subunits	9545376|9630229
HGNC:8872	5207	ENSG00000158571	Xp11.21	PFKFB1	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 1"	"6-phosphofructo-2-kinases/fructose-2,6-biphosphatases"	9119406
HGNC:8873	5208	ENSG00000123836	01q32.1	PFKFB2	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 2"	"6-phosphofructo-2-kinases/fructose-2,6-biphosphatases"	
HGNC:8874	5209	ENSG00000170525	10p15.1	PFKFB3	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 3"	"6-phosphofructo-2-kinases/fructose-2,6-biphosphatases"	9146922|10072580|22275052
HGNC:8875	5210	ENSG00000114268	03p21.31	PFKFB4	"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"	"6-phosphofructo-2-kinases/fructose-2,6-biphosphatases"	8830046|10095107|25115398
HGNC:8876	5211	ENSG00000141959	21q22.3	PFKL	"phosphofructokinase, liver type"		
HGNC:8877	5213	ENSG00000152556	12q13.11	PFKM	"phosphofructokinase, muscle"	Protein phosphatase 1 regulatory subunits	
HGNC:8878	5214	ENSG00000067057	10p15.2	PFKP	"phosphofructokinase, platelet"		
HGNC:8881	5216	ENSG00000108518	17p13.2	PFN1	profilin 1		3356709|1968707
HGNC:8882	5217	ENSG00000070087	03q25.1	PFN2	profilin 2		8975700|8365484
HGNC:18627	345456	ENSG00000196570	05q35.3	PFN3	profilin 3		11867228
HGNC:31103	375189	ENSG00000176732	02p23.3	PFN4	profilin family member 4		
HGNC:8885	643834	ENSG00000229859	11q12.2	PGA3	"pepsinogen 3, group I (pepsinogen A)"		6300126
HGNC:8886	643847	ENSG00000229183	11q13	PGA4	"pepsinogen 4, group I (pepsinogen A)"		6300126
HGNC:8887	5222	ENSG00000256713	11q12.2	PGA5	"pepsinogen 5, group I (pepsinogen A)"		
HGNC:8888	5223	ENSG00000171314	10q24.1	PGAM1	phosphoglycerate mutase 1	Bisphosphoglycerate phosphatases	2846553
HGNC:8889	5224	ENSG00000164708	07p13	PGAM2	phosphoglycerate mutase 2	Bisphosphoglycerate phosphatases	
HGNC:21731	441531	ENSG00000226784	Xq21.1	PGAM4	phosphoglycerate mutase family member 4	Bisphosphoglycerate phosphatases	11961099|9370262
HGNC:28763	192111	ENSG00000247077	12q24.33	PGAM5	"PGAM family member 5, mitochondrial serine/threonine protein phosphatase"	Serine/threonine phosphatases	11283018|19590015
HGNC:25712	80055	ENSG00000197121	02q33.1	PGAP1	post-GPI attachment to proteins 1		14734546|17711852|24482476
HGNC:17893	27315	ENSG00000148985	11p15.4	PGAP2	post-GPI attachment to proteins 2		10585768|16407401|23561846
HGNC:23719	93210	ENSG00000161395	17q21.2	PGAP3	post-GPI attachment to proteins 3		15010812|17021251|17314402
HGNC:19398	84547	ENSG00000137338	06p22.1	PGBD1	piggyBac transposable element derived 1		
HGNC:19399	267002	ENSG00000185220	01q	PGBD2	piggyBac transposable element derived 2		
HGNC:19400	267004	ENSG00000243251	10q11	PGBD3	piggyBac transposable element derived 3		
HGNC:19401	161779	ENSG00000182405	15q14	PGBD4	piggyBac transposable element derived 4		
HGNC:19405	79605	ENSG00000177614	01q42.13	PGBD5	piggyBac transposable element derived 5		
HGNC:8890	5225	ENSG00000096088	06p21.1	PGC	progastricsin		
HGNC:8891	5226	ENSG00000142657	01p36.22	PGD	phosphogluconate dehydrogenase		
HGNC:8893	5228	ENSG00000119630	14q24.3	PGF	placental growth factor	VEGF family	7681160
HGNC:26210	80162	ENSG00000142102	11p15.5	PGGHG	protein-glucosylgalactosylhydroxylysine glucosidase		26682924
HGNC:8895	5229	ENSG00000164219	05q22.3	PGGT1B	protein geranylgeranyltransferase type I subunit beta		8106351
HGNC:8896	5230	ENSG00000102144	Xq21.1	PGK1	phosphoglycerate kinase 1		6188151|6099325
HGNC:8898	5232	ENSG00000170950	06p12.3	PGK2	phosphoglycerate kinase 2		3839763|3453121
HGNC:8903	25796	ENSG00000130313	19p13.2	PGLS	6-phosphogluconolactonase		10518023
HGNC:8904	8993	ENSG00000008438	19q13.32	PGLYRP1	peptidoglycan recognition protein 1		9707603|12669421
HGNC:30013	114770	ENSG00000161031	19p13.12	PGLYRP2	peptidoglycan recognition protein 2		11461926|12669421|14506276
HGNC:30014	114771	ENSG00000159527	01q21.3	PGLYRP3	peptidoglycan recognition protein 3		11461926
HGNC:30015	57115	ENSG00000163218	01q21.3	PGLYRP4	peptidoglycan recognition protein 4		11461926
HGNC:8905	5236	ENSG00000079739	01p31.3	PGM1	phosphoglucomutase 1		4517931|1530890
HGNC:8906	55276	ENSG00000169299	04p14	PGM2	phosphoglucomutase 2		9549096
HGNC:20898	283209	ENSG00000165434	11q13.4	PGM2L1	phosphoglucomutase 2 like 1		17804405
HGNC:8907	5238	ENSG00000013375	06q14.1	PGM3	phosphoglucomutase 3		12174217|10721701
HGNC:8908	5239	ENSG00000154330	09q21.11	PGM5	phosphoglucomutase 5		8586438|8631316
HGNC:8909	283871	ENSG00000184207	16p13.3	PGP	phosphoglycolate phosphatase		
HGNC:13568	54858	ENSG00000130517	19p13.11	PGPEP1	pyroglutamyl-peptidase I		
HGNC:27080	145814	ENSG00000183571	15q26.3	PGPEP1L	pyroglutamyl-peptidase I-like		
HGNC:8910	5241	ENSG00000082175	11q22.1	PGR	progesterone receptor	Nuclear hormone receptors	
HGNC:16090	10857	ENSG00000101856	Xq24	PGRMC1	progesterone receptor membrane component 1	Membrane associated progesterone receptor family	9705155
HGNC:16089	10424	ENSG00000164040	04q28.2	PGRMC2	progesterone receptor membrane component 2	Membrane associated progesterone receptor family	9705155
HGNC:30029	9489	ENSG00000087157	17q25.3	PGS1	phosphatidylglycerophosphate synthase 1		9880566
HGNC:20990	221692	ENSG00000112137	06p24.1	PHACTR1	phosphatase and actin regulator 1	Phosphatase and actin regulators	11214970|15107502
HGNC:20956	9749	ENSG00000112419	06q24.2	PHACTR2	phosphatase and actin regulator 2	Phosphatase and actin regulators	9734811|15107502
HGNC:15833	116154	ENSG00000087495	20q13.32-q13.33	PHACTR3	phosphatase and actin regulator 3	Phosphatase and actin regulators|Protein phosphatase 1 regulatory subunits	15107502
